stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,zone_id
,S64,46.5250878,24.5381492,Prodcomplex,,
,S135,46.54971679999999,24.5539984,Matei Corvin,,
,S136,46.52741500000001,24.5597338,Centura,,
,S137,46.52805770000001,24.5604805,Centura,,
,S138,46.53572970000001,24.5955975,Centrofarm,,
,S139,46.5367338,24.5912258,Piata Diamant,,
,S14,46.535607,24.5828064,Fortuna,,
,S140,46.5373516,24.5903357,Piata Diamant,,
,S141,46.546694,24.569269100000003,Nicolae Iorga,,
,S142,46.4805287,24.6331332,Acatari,,
,S102,46.5670834,24.5901343,Capalna,,
,S65,46.522925,24.545743100000006,Plasmaterm,,
,S143,46.4802791,24.6328932,Acatari,,
,S15,46.535123,24.5544044,Mocca,,
,S16,46.5355554,24.5551997,Mocca,,
,S17,46.54385429999999,24.5603309,Piata Trandafirilor,,
,S18,46.5455925,24.5619527,Piata Teatrului,,
,S19,46.5524327,24.566892000000006,Gara Mica,,
,S02,46.53654810000001,24.558493,Avram Iancu,,
,S20,46.5522715,24.567138,Piata Republicii,,
,S21,46.5598293,24.5807067,SMURD,,
,S22,46.5593883,24.5811726,Spitalul Judetean,,
